match_id,team1,team2,toss_winner,toss_decision,home_team,crowd_support,pitch_condition,weather_condition,team1_strength,team2_strength,team1_recent_form,team2_recent_form,match_importance,winner,margin_of_victory,top_scorer_team,man_of_the_match,top_wicket_taker,top_scorer_runs,bowling_economy,temperature,humidity,wind_speed,venue
11,Team C,Team A,Team A,bat,Team A,26198,3,Cloudy,77,51,0.62,0.3,Group Stage,Team C,6,Team A,Team A,Player D,69,7.67,31,51,15,Stadium E
12,Team D,Team E,Team E,bowl,Team E,31834,10,Rainy,77,74,0.32,0.11,Group Stage,Team D,27,Team E,Team D,Player A,55,7.67,35,88,1,Stadium E
13,Team D,Team A,Team D,bat,Team D,31959,9,Cloudy,86,82,0.12,0.34,Final,Team A,59,Team A,Team A,Player C,53,7.43,25,78,10,Stadium B
14,Team A,Team E,Team A,bowl,Team A,49353,4,Cloudy,88,51,0.71,0.15,Group Stage,Team A,59,Team A,Team E,Player D,101,5.56,35,41,4,Stadium B
15,Team B,Team E,Team E,bat,Team B,48623,1,Clear,68,51,0.53,0.45,Knockout,Team B,32,Team B,Team E,Player A,129,4.79,15,60,8,Stadium E
16,Team C,Team E,Team C,bat,Team C,47157,8,Clear,83,55,0.4,0.82,Group Stage,Team E,73,Team E,Team C,Player E,131,4.09,19,35,8,Stadium A
17,Team E,Team C,Team C,bowl,Team E,16546,10,Rainy,68,69,0.65,0.17,Group Stage,Team E,40,Team C,Team E,Player C,100,5.68,24,48,16,Stadium D
18,Team B,Team E,Team B,bat,Team E,18120,9,Cloudy,72,80,0.88,0.26,Knockout,Team B,60,Team B,Team E,Player D,115,4.18,25,40,10,Stadium A
19,Team A,Team E,Team E,bowl,Team A,39855,7,Clear,90,84,0.7,0.85,Knockout,Team E,33,Team E,Team E,Player A,142,4.04,37,68,6,Stadium E
20,Team C,Team A,Team A,bowl,Team A,12557,9,Rainy,74,78,0.28,0.31,Knockout,Team A,54,Team C,Team A,Player D,83,7.69,27,62,7,Stadium B
21,Team E,Team A,Team A,bat,Team A,33328,5,Rainy,52,66,0.31,0.54,Final,Team A,86,Team E,Team A,Player D,36,6.71,37,47,7,Stadium E
22,Team E,Team C,Team C,bowl,Team E,40746,2,Clear,79,82,0.58,0.49,Group Stage,Team E,61,Team C,Team E,Player E,58,5.25,29,82,15,Stadium D
23,Team D,Team C,Team C,bat,Team C,18208,5,Cloudy,84,90,0.95,0.33,Knockout,Team D,53,Team D,Team D,Player B,59,6.96,34,30,14,Stadium A
24,Team D,Team A,Team A,bat,Team D,45743,7,Clear,52,67,0.56,0.94,Knockout,Team A,67,Team A,Team A,Player A,140,3.44,31,77,16,Stadium A
25,Team B,Team E,Team B,bowl,Team B,45777,10,Cloudy,75,66,0.85,0.14,Knockout,Team B,48,Team B,Team B,Player D,98,4.24,35,81,16,Stadium D
26,Team B,Team D,Team D,bat,Team D,39592,8,Clear,56,85,0.8,0.65,Knockout,Team D,16,Team D,Team D,Player E,90,6.67,36,32,15,Stadium C
27,Team C,Team D,Team C,bowl,Team D,23121,7,Rainy,71,100,0.47,0.54,Group Stage,Team D,22,Team D,Team D,Player E,101,4.36,36,62,11,Stadium A
28,Team A,Team E,Team E,bowl,Team A,39749,5,Clear,57,93,0.97,0.46,Knockout,Team A,96,Team E,Team E,Player A,42,5.73,24,88,3,Stadium C
29,Team C,Team D,Team D,bowl,Team D,38940,2,Cloudy,79,68,0.8,0.27,Knockout,Team C,55,Team D,Team C,Player D,53,4.43,33,42,18,Stadium C
30,Team B,Team A,Team A,bat,Team B,33944,5,Clear,50,96,0.25,0.55,Group Stage,Team A,1,Team A,Team B,Player A,140,6.22,23,48,1,Stadium A
31,Team E,Team B,Team E,bat,Team E,29531,10,Rainy,86,71,0.01,0.12,Group Stage,Team B,47,Team E,Team B,Player D,41,6.23,21,74,1,Stadium E
32,Team D,Team A,Team A,bowl,Team A,45247,5,Rainy,85,82,0.46,0.65,Knockout,Team A,10,Team A,Team D,Player D,77,7.83,37,88,17,Stadium E
33,Team D,Team B,Team B,bat,Team B,33289,3,Cloudy,81,50,0.54,0.68,Final,Team D,2,Team D,Team B,Player E,56,5.15,24,36,6,Stadium E
34,Team C,Team E,Team E,bowl,Team E,21938,1,Clear,100,92,0.94,0.39,Group Stage,Team C,40,Team E,Team C,Player C,85,7.61,22,64,9,Stadium D
35,Team D,Team A,Team D,bowl,Team D,13373,2,Clear,100,99,0.68,0.07,Group Stage,Team D,26,Team A,Team A,Player B,37,5.74,21,66,12,Stadium D
36,Team B,Team D,Team B,bat,Team D,27209,5,Cloudy,94,60,0.88,0.74,Group Stage,Team B,36,Team D,Team B,Player A,33,7.44,20,89,4,Stadium C
37,Team A,Team E,Team E,bat,Team A,27506,4,Cloudy,98,88,0.58,0.87,Group Stage,Team E,12,Team A,Team A,Player C,120,5.84,22,33,6,Stadium D
38,Team E,Team C,Team E,bat,Team E,24397,4,Clear,71,62,0.9,0.39,Group Stage,Team E,19,Team C,Team E,Player E,69,3.57,22,73,0,Stadium A
39,Team D,Team B,Team D,bowl,Team B,15486,5,Clear,84,61,0.33,0.67,Group Stage,Team B,23,Team B,Team D,Player B,131,7.97,29,36,19,Stadium D
40,Team E,Team A,Team A,bowl,Team E,32925,10,Clear,84,72,0.55,0.71,Final,Team A,76,Team E,Team A,Player B,88,5.42,31,66,6,Stadium B
41,Team B,Team E,Team B,bat,Team E,11542,8,Cloudy,58,99,0.89,0.15,Group Stage,Team B,37,Team E,Team B,Player D,60,4.95,23,48,10,Stadium D
42,Team E,Team A,Team A,bowl,Team E,47080,4,Cloudy,80,68,0.78,0.56,Final,Team E,74,Team A,Team E,Player B,110,5.0,36,40,3,Stadium A
43,Team C,Team A,Team C,bowl,Team A,13709,10,Clear,90,88,0.75,0.58,Knockout,Team C,63,Team A,Team C,Player A,85,7.51,32,85,7,Stadium C
44,Team A,Team E,Team A,bowl,Team A,12105,5,Cloudy,70,60,0.92,0.25,Final,Team A,20,Team A,Team E,Player E,47,7.69,16,47,18,Stadium E
45,Team A,Team B,Team B,bat,Team A,13330,7,Clear,60,61,0.96,0.06,Knockout,Team A,76,Team B,Team B,Player E,115,6.77,19,45,13,Stadium D
46,Team E,Team D,Team D,bowl,Team D,46487,10,Cloudy,77,77,0.36,0.26,Final,Team E,63,Team E,Team E,Player D,74,6.0,27,56,16,Stadium E
47,Team A,Team B,Team B,bat,Team B,41471,3,Clear,55,67,0.42,0.58,Group Stage,Team B,66,Team B,Team B,Player A,63,3.12,25,75,4,Stadium C
48,Team B,Team D,Team B,bat,Team B,11015,1,Cloudy,50,67,0.99,0.15,Group Stage,Team B,26,Team B,Team B,Player D,129,6.24,17,87,7,Stadium B
49,Team C,Team D,Team C,bat,Team C,28017,9,Rainy,50,70,0.06,0.86,Group Stage,Team D,69,Team C,Team C,Player D,124,6.44,26,72,7,Stadium E
50,Team C,Team A,Team C,bat,Team C,20916,10,Cloudy,68,66,0.24,0.21,Group Stage,Team C,51,Team C,Team C,Player C,115,7.7,33,42,0,Stadium B
51,Team D,Team B,Team D,bat,Team B,36657,8,Rainy,75,83,0.48,0.83,Knockout,Team B,12,Team D,Team B,Player B,42,7.54,28,76,18,Stadium C
52,Team D,Team A,Team A,bowl,Team D,32928,7,Rainy,86,70,0.64,0.81,Final,Team A,38,Team A,Team A,Player C,107,7.38,21,71,8,Stadium E
53,Team B,Team C,Team C,bowl,Team C,16941,3,Rainy,83,87,0.45,0.91,Knockout,Team C,51,Team B,Team B,Player C,36,5.93,35,68,3,Stadium A
54,Team E,Team D,Team D,bowl,Team E,31833,1,Clear,83,55,0.49,0.33,Final,Team E,43,Team D,Team E,Player E,30,5.04,21,86,8,Stadium D
55,Team C,Team D,Team C,bat,Team C,25183,6,Clear,52,81,0.47,0.67,Knockout,Team D,61,Team D,Team C,Player E,73,5.93,33,40,4,Stadium E
56,Team C,Team A,Team C,bowl,Team A,47545,6,Clear,55,50,0.53,0.36,Knockout,Team C,34,Team C,Team A,Player D,119,4.2,15,81,2,Stadium C
57,Team B,Team A,Team B,bat,Team A,20488,9,Cloudy,96,79,0.16,0.38,Group Stage,Team A,26,Team A,Team B,Player E,124,7.61,27,58,1,Stadium E
58,Team A,Team D,Team A,bowl,Team A,10302,8,Cloudy,63,75,0.76,0.53,Knockout,Team A,26,Team D,Team A,Player E,30,3.78,22,69,19,Stadium D
59,Team C,Team D,Team C,bat,Team C,29181,2,Cloudy,87,84,0.4,0.1,Final,Team C,28,Team D,Team C,Player D,38,5.97,37,86,9,Stadium B
60,Team A,Team B,Team A,bowl,Team B,14632,1,Clear,69,74,0.68,0.79,Group Stage,Team B,18,Team A,Team B,Player D,87,5.81,29,89,0,Stadium D
61,Team B,Team D,Team D,bowl,Team B,33275,3,Cloudy,90,86,0.36,0.65,Knockout,Team D,59,Team D,Team B,Player A,50,3.37,34,43,9,Stadium B
62,Team E,Team B,Team E,bat,Team E,37285,5,Cloudy,55,97,0.16,0.19,Knockout,Team B,94,Team E,Team B,Player B,83,3.6,20,44,4,Stadium E
63,Team A,Team D,Team A,bat,Team A,14324,4,Rainy,55,51,0.58,0.92,Final,Team D,6,Team D,Team A,Player E,85,6.54,17,81,8,Stadium D
64,Team C,Team B,Team C,bowl,Team C,20954,8,Cloudy,100,94,0.77,0.19,Knockout,Team C,68,Team C,Team B,Player C,113,4.31,16,35,19,Stadium D
65,Team A,Team E,Team A,bowl,Team A,12048,10,Cloudy,87,86,0.51,0.93,Group Stage,Team E,3,Team A,Team E,Player D,111,6.29,36,49,7,Stadium B
66,Team B,Team E,Team E,bat,Team B,19865,2,Clear,89,51,0.09,0.14,Group Stage,Team B,17,Team B,Team B,Player D,86,6.25,20,53,5,Stadium B
67,Team C,Team B,Team C,bat,Team C,41037,2,Cloudy,60,58,0.21,0.38,Group Stage,Team B,40,Team B,Team B,Player C,63,6.02,23,49,18,Stadium B
68,Team D,Team E,Team D,bowl,Team D,40523,3,Clear,86,54,0.24,0.63,Knockout,Team E,4,Team D,Team D,Player C,142,6.71,21,46,19,Stadium D
69,Team B,Team A,Team A,bowl,Team A,19510,8,Cloudy,81,100,0.62,0.54,Final,Team A,15,Team B,Team B,Player C,80,6.38,15,50,9,Stadium A
70,Team A,Team B,Team A,bat,Team B,28381,5,Rainy,88,100,0.43,0.33,Final,Team A,72,Team B,Team B,Player E,82,4.1,34,61,2,Stadium D
71,Team D,Team C,Team D,bat,Team D,35053,7,Rainy,85,78,0.15,0.31,Group Stage,Team C,27,Team D,Team D,Player A,146,6.29,29,61,1,Stadium D
72,Team D,Team B,Team B,bowl,Team D,33710,4,Clear,73,64,0.8,0.15,Final,Team D,68,Team B,Team D,Player B,102,5.26,34,75,4,Stadium D
73,Team B,Team D,Team B,bat,Team B,20147,4,Cloudy,92,76,0.35,0.18,Knockout,Team B,38,Team D,Team D,Player B,84,7.15,34,88,11,Stadium E
74,Team B,Team C,Team B,bowl,Team C,20380,8,Cloudy,67,74,0.26,0.73,Final,Team C,76,Team C,Team C,Player A,67,5.26,34,61,11,Stadium E
75,Team D,Team A,Team A,bat,Team A,10126,10,Clear,77,80,0.61,0.42,Group Stage,Team D,78,Team A,Team D,Player E,57,4.9,25,54,7,Stadium D
76,Team C,Team D,Team C,bowl,Team C,46244,10,Cloudy,85,72,0.92,0.87,Final,Team C,40,Team C,Team C,Player C,85,5.23,25,64,16,Stadium D
77,Team A,Team B,Team A,bowl,Team B,49224,5,Cloudy,90,84,0.4,0.54,Final,Team B,38,Team B,Team A,Player C,104,7.65,19,65,4,Stadium D
78,Team B,Team D,Team D,bat,Team B,16783,3,Cloudy,73,74,0.5,0.42,Group Stage,Team B,49,Team B,Team B,Player D,101,6.16,17,65,13,Stadium B
79,Team C,Team B,Team B,bowl,Team B,48356,1,Rainy,66,69,0.46,0.56,Knockout,Team B,92,Team C,Team C,Player E,93,5.9,22,53,3,Stadium D
80,Team A,Team D,Team A,bowl,Team A,36838,3,Rainy,68,81,0.47,0.62,Group Stage,Team D,30,Team D,Team D,Player E,125,3.88,37,34,8,Stadium E
81,Team C,Team B,Team C,bowl,Team C,38865,6,Clear,99,79,0.56,0.16,Group Stage,Team C,8,Team C,Team C,Player E,108,7.81,23,31,12,Stadium E
82,Team C,Team E,Team E,bowl,Team C,20093,2,Clear,72,77,0.84,0.87,Group Stage,Team E,57,Team C,Team C,Player D,100,3.64,38,64,18,Stadium D
83,Team C,Team D,Team C,bowl,Team D,41480,5,Rainy,100,82,0.56,0.72,Final,Team D,96,Team D,Team D,Player C,67,6.38,30,62,16,Stadium D
84,Team C,Team E,Team E,bowl,Team C,31389,7,Cloudy,56,59,0.09,0.21,Final,Team E,19,Team E,Team C,Player D,91,4.83,31,37,11,Stadium E
85,Team D,Team B,Team B,bat,Team D,33236,4,Rainy,91,51,0.36,0.03,Group Stage,Team D,37,Team B,Team B,Player E,44,4.41,33,42,1,Stadium E
86,Team A,Team C,Team A,bowl,Team A,27771,8,Clear,59,79,0.49,0.89,Group Stage,Team C,81,Team C,Team A,Player A,50,5.5,30,89,7,Stadium B
87,Team B,Team A,Team B,bat,Team B,27685,4,Cloudy,78,94,0.69,0.68,Knockout,Team A,18,Team A,Team B,Player A,139,4.58,22,66,11,Stadium E
88,Team B,Team E,Team B,bowl,Team E,49952,5,Clear,87,61,0.21,0.01,Group Stage,Team B,27,Team B,Team B,Player B,122,6.6,24,56,17,Stadium B
89,Team C,Team E,Team E,bowl,Team C,18646,10,Clear,66,75,0.4,0.77,Knockout,Team E,64,Team E,Team E,Player D,76,5.12,18,80,4,Stadium B
90,Team C,Team A,Team C,bat,Team A,31874,10,Clear,70,60,0.29,0.36,Group Stage,Team A,59,Team C,Team A,Player A,112,6.6,29,53,4,Stadium E
91,Team C,Team B,Team B,bat,Team C,12711,6,Cloudy,54,82,0.27,0.54,Final,Team B,99,Team B,Team C,Player D,62,4.5,22,72,8,Stadium C
92,Team A,Team C,Team A,bat,Team A,10481,9,Cloudy,51,58,0.08,0.73,Group Stage,Team C,61,Team A,Team C,Player C,60,3.6,35,76,3,Stadium A
93,Team B,Team A,Team B,bat,Team B,38145,5,Rainy,79,87,0.59,0.36,Final,Team B,49,Team B,Team B,Player A,117,3.61,20,32,5,Stadium A
94,Team B,Team A,Team B,bat,Team B,30491,8,Rainy,57,80,0.81,0.66,Knockout,Team A,80,Team A,Team A,Player A,67,7.83,32,40,1,Stadium A
95,Team A,Team C,Team A,bowl,Team A,35064,10,Rainy,81,59,0.59,1.0,Knockout,Team C,85,Team C,Team C,Player A,73,3.16,22,66,4,Stadium A
96,Team E,Team C,Team E,bat,Team C,18007,2,Rainy,72,78,0.47,0.86,Final,Team C,99,Team C,Team E,Player B,101,3.77,21,85,5,Stadium D
97,Team B,Team D,Team B,bowl,Team B,45435,2,Rainy,86,92,0.34,0.72,Final,Team D,15,Team D,Team B,Player E,117,4.44,17,71,12,Stadium C
98,Team D,Team A,Team A,bat,Team D,37345,1,Clear,91,93,0.23,0.02,Knockout,Team D,34,Team A,Team D,Player C,65,6.67,28,67,14,Stadium E
99,Team E,Team A,Team A,bowl,Team A,13810,7,Cloudy,78,98,0.4,0.48,Group Stage,Team A,16,Team A,Team A,Player A,79,6.78,19,79,12,Stadium C
100,Team A,Team C,Team C,bat,Team A,13430,4,Clear,50,79,0.0,0.47,Knockout,Team C,68,Team C,Team C,Player E,69,4.84,32,70,14,Stadium A
